hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP13992	19928	0.008782	0.019219	0.024338	0.024839	0.102519	0.116770	0.105831	0.000000	0.034022	0.044360	0.033470	0.055450	0.005319	0.019069	0.012344	0.000502	0.000452	0.012545	0.039894	0.060819	0.060568	0.000000	0.019420	0.040897	0.016961	0.000000	0.056905	0.034876	0.019872	0.029807	0.000151
HIP13994	35225	0.006047	0.015586	0.029383	0.037104	0.101235	0.140468	0.124202	0.000028	0.030064	0.044883	0.033272	0.064386	0.003889	0.019645	0.010873	0.000369	0.000000	0.016693	0.032562	0.049397	0.059787	0.000142	0.026288	0.042356	0.014507	0.000000	0.039659	0.019418	0.016494	0.021008	0.000256
HIP13996	43707	0.009701	0.020958	0.033175	0.037248	0.121491	0.151967	0.118082	0.000000	0.023932	0.049466	0.029835	0.064177	0.004256	0.017869	0.010342	0.000618	0.000297	0.014940	0.032512	0.047109	0.054591	0.000069	0.022582	0.054270	0.012286	0.000000	0.034251	0.001556	0.019699	0.012607	0.000114
HIP14000	112569	0.011548	0.022804	0.025131	0.026997	0.106948	0.123276	0.116311	0.000018	0.033686	0.045403	0.038545	0.064867	0.005543	0.018584	0.011477	0.000560	0.000000	0.014675	0.033979	0.065204	0.062282	0.000027	0.026544	0.046709	0.014667	0.000000	0.039185	0.004548	0.017261	0.023008	0.000213
HIP14004	45539	0.007949	0.013571	0.031533	0.056830	0.099168	0.167395	0.111026	0.000022	0.022047	0.044643	0.023892	0.047761	0.004655	0.016711	0.012165	0.000505	0.000000	0.011221	0.029623	0.049584	0.049760	0.000044	0.020422	0.032961	0.015789	0.000022	0.046334	0.039614	0.024353	0.020181	0.000220
HIP14007	16257	0.007935	0.017223	0.034385	0.035677	0.097373	0.115581	0.112013	0.000062	0.030141	0.041705	0.029956	0.052839	0.002522	0.015440	0.009903	0.000677	0.000062	0.013287	0.035800	0.065756	0.065018	0.000062	0.021099	0.044473	0.009596	0.000000	0.053638	0.047364	0.017715	0.022390	0.000308
HIP14009	38096	0.006064	0.011891	0.044939	0.041448	0.082030	0.124318	0.117388	0.000026	0.028087	0.039873	0.030817	0.052866	0.004489	0.020973	0.011261	0.000420	0.000472	0.017850	0.039164	0.065834	0.076780	0.000026	0.024727	0.033757	0.012600	0.000000	0.042419	0.029294	0.019031	0.021026	0.000131
HIP14014	54416	0.007277	0.013397	0.033207	0.047504	0.098794	0.163316	0.106513	0.000000	0.028613	0.046347	0.030138	0.049912	0.003455	0.017587	0.010879	0.000386	0.000129	0.011614	0.026996	0.055443	0.047008	0.000000	0.019608	0.050628	0.016411	0.000000	0.038665	0.021409	0.023614	0.031112	0.000037
HIP14015	37136	0.010287	0.020977	0.024397	0.028436	0.115306	0.138976	0.127235	0.000000	0.036730	0.042492	0.034199	0.063389	0.005062	0.018042	0.010044	0.000377	0.000000	0.014245	0.036218	0.056253	0.062473	0.000081	0.021946	0.033822	0.013276	0.000000	0.036972	0.004120	0.015914	0.028490	0.000242
HIP14016	50274	0.006843	0.015435	0.035366	0.036858	0.095278	0.126248	0.112145	0.000000	0.030274	0.043681	0.032920	0.050344	0.004098	0.017802	0.010841	0.000617	0.000239	0.013566	0.033258	0.058022	0.068326	0.000020	0.023432	0.044476	0.013605	0.000000	0.049966	0.031587	0.020368	0.024267	0.000119
HIP14018	46446	0.008246	0.019679	0.018667	0.024760	0.105671	0.127460	0.104078	0.000043	0.029044	0.047884	0.035245	0.060027	0.004930	0.018516	0.011454	0.000431	0.000301	0.012832	0.031520	0.061598	0.055032	0.000043	0.022801	0.064182	0.016708	0.000000	0.047711	0.024588	0.021746	0.024609	0.000194
HIP14020	35916	0.010218	0.016901	0.026506	0.035416	0.102406	0.151492	0.098368	0.000028	0.028483	0.049393	0.023917	0.064261	0.004511	0.017095	0.009856	0.000529	0.000056	0.010497	0.027536	0.053152	0.046080	0.000084	0.020297	0.042850	0.018599	0.000000	0.045439	0.042432	0.014423	0.039119	0.000056
