hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP01313	201540	0.000650	0.047658	0.031076	0.040374	0.129051	0.138102	0.114935	0.000000	0.040106	0.032078	0.031542	0.037397	0.006698	0.009085	0.014067	0.000690	0.000000	0.022135	0.044641	0.084405	0.005230	0.000005	0.002010	0.019242	0.010182	0.000000	0.035784	0.063025	0.021564	0.018269	0.000000
HIP01359	143545	0.000711	0.036818	0.026055	0.050946	0.126950	0.153171	0.089512	0.000000	0.014393	0.016566	0.021617	0.050040	0.006876	0.006632	0.014595	0.000362	0.000007	0.037737	0.060545	0.107778	0.001003	0.000000	0.001261	0.004452	0.010101	0.000000	0.023568	0.017277	0.039207	0.081814	0.000007
HIP01384	114846	0.000479	0.038042	0.031251	0.044790	0.123235	0.148956	0.132142	0.000000	0.039192	0.031973	0.038861	0.059584	0.007314	0.008707	0.012748	0.000949	0.000009	0.029335	0.048813	0.072471	0.005877	0.000000	0.002377	0.010074	0.007993	0.000000	0.034376	0.011015	0.024877	0.034524	0.000035
HIP01391	163367	0.000116	0.028580	0.028280	0.056370	0.105046	0.137053	0.142905	0.000000	0.041434	0.020126	0.032051	0.046239	0.005050	0.009414	0.012812	0.000735	0.000000	0.025911	0.049453	0.079808	0.006146	0.000006	0.002191	0.012585	0.008153	0.000000	0.034083	0.064725	0.024130	0.026590	0.000006
HIP01392	176478	0.000368	0.027227	0.026927	0.053457	0.095151	0.125245	0.137836	0.000000	0.038243	0.018235	0.030893	0.037687	0.007718	0.009185	0.016370	0.000867	0.000000	0.028944	0.054403	0.086662	0.005156	0.000000	0.001740	0.013565	0.008789	0.000000	0.048935	0.088396	0.024065	0.013905	0.000028
HIP01393	264414	0.000469	0.039060	0.037456	0.037642	0.126828	0.141294	0.097283	0.000004	0.027476	0.030989	0.040176	0.058189	0.008014	0.008710	0.013252	0.000938	0.000023	0.029601	0.055572	0.072976	0.006112	0.000004	0.002118	0.019050	0.009099	0.000000	0.030320	0.050958	0.023093	0.033289	0.000008
HIP01465	172333	0.000563	0.036708	0.032344	0.048650	0.123981	0.142956	0.130410	0.000000	0.027766	0.027691	0.031979	0.059710	0.004683	0.008872	0.013886	0.000807	0.000000	0.032106	0.059054	0.085375	0.006342	0.000023	0.002193	0.011646	0.009284	0.000000	0.031451	0.009041	0.022602	0.039865	0.000012
HIP01470	208720	0.000470	0.045209	0.030289	0.055021	0.143139	0.131899	0.117195	0.000005	0.037452	0.029475	0.029690	0.045324	0.007565	0.007747	0.015964	0.000589	0.000005	0.026888	0.034927	0.093383	0.005098	0.000000	0.001825	0.013027	0.008595	0.000000	0.035885	0.044931	0.027065	0.011307	0.000029
HIP01499	93215	0.000440	0.047546	0.032795	0.056160	0.122791	0.149450	0.133702	0.000000	0.036164	0.021756	0.031937	0.067242	0.006576	0.010084	0.014375	0.000848	0.000000	0.028579	0.048844	0.080845	0.004055	0.000000	0.001759	0.007198	0.010878	0.000000	0.031057	0.009698	0.022432	0.022754	0.000032
HIP01501	42423	0.000589	0.023006	0.021521	0.067251	0.110082	0.137732	0.089928	0.000024	0.036018	0.018339	0.020154	0.033119	0.006388	0.007189	0.011008	0.000377	0.000000	0.041180	0.045471	0.112109	0.000684	0.000000	0.001273	0.014568	0.009617	0.000000	0.028664	0.053320	0.046013	0.064375	0.000000
HIP01571	151301	0.000357	0.029458	0.023833	0.052756	0.109722	0.140026	0.124474	0.000007	0.042604	0.031553	0.034402	0.041844	0.004018	0.008030	0.010529	0.000747	0.000000	0.024296	0.048182	0.096291	0.004541	0.000007	0.001547	0.016517	0.008248	0.000000	0.035585	0.069801	0.021884	0.018731	0.000013
HIP01582	104485	0.000699	0.036493	0.030416	0.045279	0.103546	0.141015	0.134804	0.000000	0.044849	0.024252	0.032722	0.050840	0.005991	0.008958	0.011389	0.000708	0.000000	0.029554	0.047394	0.081926	0.005762	0.000000	0.002345	0.013332	0.008566	0.000000	0.046265	0.050955	0.019840	0.022041	0.000057
HIP01596	177273	0.001162	0.057014	0.050696	0.041744	0.145155	0.139863	0.124193	0.000006	0.032058	0.028685	0.033959	0.069418	0.007632	0.007886	0.014283	0.000919	0.000000	0.025633	0.054284	0.077259	0.005788	0.000006	0.002702	0.006346	0.009347	0.000000	0.023828	0.012337	0.026417	0.001359	0.000023
HIP01597	208630	0.000498	0.033394	0.029593	0.046283	0.105388	0.136227	0.129972	0.000000	0.040023	0.024642	0.034506	0.052255	0.007530	0.009467	0.012846	0.000661	0.000000	0.033940	0.048478	0.073355	0.004913	0.000000	0.001769	0.021392	0.009960	0.000005	0.039170	0.048052	0.022691	0.032977	0.000014
HIP01765	59495	0.000521	0.035247	0.031667	0.046794	0.120044	0.133742	0.109942	0.000017	0.035785	0.025448	0.027280	0.045197	0.005950	0.007614	0.013245	0.000790	0.000000	0.026002	0.048660	0.102109	0.002992	0.000000	0.001933	0.013564	0.007143	0.000000	0.031969	0.064997	0.026254	0.035062	0.000034
